tract,total_tweets,miss_home_tract,userwith5_count,total_users,tweets_hometract,tweets_sent_from_home,oddratio_12AM,percent_of_tweets,percent_of_tweets_ht,percent_of_local_tweets_byalltwitter,percent_of_users,percent_of_users_5_tweet,oddratio_1AM,oddratio_2AM,oddratio_3AM,oddratio_4AM,oddratio_5AM,oddratio_6AM,oddratio_7AM,oddratio_8AM,oddratio_9AM,oddratio_10AM,oddratio_11AM,oddratio_12PM,oddratio_1PM,oddratio_2PM,oddratio_3PM,oddratio_4PM,oddratio_5PM,oddratio_6PM,oddratio_7PM,oddratio_8PM,oddratio_9PM,oddratio_10PM,oddratio_11PM,Sunday_oddratio,Monday_oddratio,Tuesday_oddratio,Wednesday_oddratio,Thursday_oddratio,Friday_oddratio,Saturday_oddratio,weekend_oddratio,weekday_oddratio,nighttime_oddratio,daytime_oddratio,local_tweets,percent_of_local_tweets_bytract,local_oddratio_12AM,local_oddratio_1AM,local_oddratio_2AM,local_oddratio_3AM,local_oddratio_4AM,local_oddratio_5AM,local_oddratio_6AM,local_oddratio_7AM,local_oddratio_8AM,local_oddratio_9AM,local_oddratio_10AM,local_oddratio_11AM,local_oddratio_12PM,local_oddratio_1PM,local_oddratio_2PM,local_oddratio_3PM,local_oddratio_4PM,local_oddratio_5PM,local_oddratio_6PM,local_oddratio_7PM,local_oddratio_8PM,local_oddratio_9PM,local_oddratio_10PM,local_oddratio_11PM,local_Sunday_oddratio,local_Monday_oddratio,local_Tuesday_oddratio,local_Wednesday_oddratio,local_Thursday_oddratio,local_Friday_oddratio,local_Saturday_oddratio,local_weekend_oddratio,local_weekday_oddratio,local_nighttime_oddratio,local_daytime_oddratio,neighbor_tweets,neighbor_weekend_oddratio,neighbor_weekday_oddratio,neighbor_nighttime_oddratio,neighbor_daytime_oddratio,other_weekday_oddratio,other_weekend_oddratio,other_daytime_oddratio,other_nighttime_oddratio,other_tweets,percent_of_neighbor_tweets_pertract,percent_of_other_tweets_pertract
9001010101,2610,0,51,458,2610,1247,0.080076628,3.46E-05,3.46E-05,1.65E-05,0.002797391,0.111353712,0.090804598,0.079693487,0.055172414,0.040229885,0.020306513,0.013409962,0.008812261,0.010727969,0.009195402,0.009578544,0.02183908,0.025287356,0.032950192,0.04137931,0.0348659,0.04137931,0.045210728,0.043295019,0.055172414,0.062452107,0.065517241,0.057088123,0.055555556,0.122988506,0.133716475,0.117624521,0.144444444,0.144444444,0.163984674,0.172796935,0.393103448,0.606896552,0.601532567,0.398467433,1247,0.477777778,0.039463602,0.048659004,0.034482759,0.036398467,0.030651341,0.011877395,0.007662835,0.003448276,0.002681992,0.004214559,0.002681992,0.009195402,0.009578544,0.008812261,0.016858238,0.014176245,0.017241379,0.017624521,0.018390805,0.02183908,0.034482759,0.031034483,0.027586207,0.028735632,0.051340996,0.057471264,0.050574713,0.075095785,0.059770115,0.081992337,0.101532567,0.206130268,0.27164751,0.302681992,0.175095785,305,0.033333333,0.083524904,0.095785441,0.021072797,0.644827586,0.760536398,0.803831418,0.601532567,1058,0.116858238,0.405363985
9001010201,4746,0,75,254,4746,3382,0.052043826,6.30E-05,6.30E-05,4.49E-05,0.001551391,0.295275591,0.055415086,0.061736199,0.055204383,0.03202697,0.039823009,0.029077118,0.016224189,0.012431521,0.001896334,0.005478298,0.025495154,0.039823009,0.044458491,0.060261273,0.060261273,0.050990308,0.065318163,0.065107459,0.050147493,0.034766119,0.040033713,0.044879899,0.057100716,0.17024863,0.164348925,0.154656553,0.153603034,0.138010957,0.124315213,0.094816688,0.312262958,0.687737042,0.451327434,0.548672566,3382,0.712600084,0.042983565,0.050779604,0.057732828,0.052465234,0.031394859,0.03876949,0.028023599,0.01517067,0.012220818,0.00168563,0.004424779,0.010324484,0.012010114,0.0168563,0.025705858,0.03708386,0.02528445,0.044037084,0.041087231,0.026759376,0.023388116,0.032237674,0.034344711,0.047829751,0.12136536,0.117783397,0.109144543,0.091656131,0.088916983,0.103034134,0.080699536,0.238516646,0.474083439,0.36852086,0.344079225,224,0.010745891,0.036451749,0.019806153,0.027391488,0.489464812,0.750737463,0.628529288,0.611672988,1140,0.04719764,0.240202276
9001010202,2953,0,55,206,2953,1889,0.064679986,3.92E-05,3.92E-05,2.51E-05,0.001258215,0.266990291,0.067389096,0.072807315,0.0612936,0.050457162,0.043684389,0.033863867,0.015577379,0.013545547,0.009820522,0.011175076,0.019302404,0.030138842,0.034202506,0.046054859,0.055198104,0.043007111,0.04334575,0.048763969,0.032170674,0.035557061,0.040298002,0.05113444,0.07653234,0.155096512,0.122925838,0.128344057,0.13003725,0.137148662,0.146969184,0.179478496,0.393836776,0.606163224,0.501862513,0.498137487,1889,0.639688452,0.043684389,0.042329834,0.048086692,0.044361666,0.035218422,0.031493397,0.026413816,0.01286827,0.008804605,0.007788689,0.006772773,0.016254656,0.020656959,0.022011514,0.033525229,0.025059262,0.02031832,0.022688791,0.030477481,0.017609211,0.018625127,0.022688791,0.034202506,0.047748053,0.100237047,0.078225533,0.080934643,0.087030139,0.093802912,0.098543854,0.100914324,0.241788012,0.39790044,0.319336268,0.320352184,281,0.039282086,0.055875381,0.051811717,0.04334575,0.546224179,0.718929902,0.636302066,0.628852015,783,0.095157467,0.265154081
9001010300,15253,0.002071664,182,710,15221,11099,0.036189602,0.000202378,0.000201954,0.000147262,0.004336566,0.256338028,0.020454992,0.013439979,0.011604275,0.007605061,0.005966039,0.005113748,0.004720383,0.003146922,0.003278044,0.0060316,0.040713302,0.028912345,0.036255163,0.038156428,0.133416377,0.091391857,0.07736183,0.099718088,0.116698354,0.090670688,0.046482659,0.041237789,0.039664328,0.149150987,0.161476431,0.140693634,0.152691274,0.149347669,0.124237855,0.120632007,0.329705632,0.668524225,0.416442667,0.581787189,11099,0.727660132,0.026421032,0.012915492,0.007015013,0.006556087,0.004458139,0.002950239,0.002556874,0.001901265,0.002360191,0.002884678,0.0030158,0.034157215,0.015931292,0.02025831,0.019668262,0.098472432,0.0735593,0.058086934,0.078083,0.092440831,0.073428178,0.034157215,0.028846784,0.027535567,0.110273389,0.118534059,0.097751262,0.108962171,0.103061693,0.092965318,0.09611224,0.25149151,0.476168623,0.3093162,0.418343932,1155,0.014816757,0.060906051,0.030682489,0.04504032,0.462925326,0.733691733,0.536615748,0.660001311,2999,0.075722809,0.196617059
9001010400,11688,0,132,400,11688,9570,0.064510609,0.000155077,0.000155077,0.000126976,0.002443136,0.33,0.083504449,0.081536619,0.062457221,0.046372348,0.026608487,0.013261465,0.008983573,0.004534565,0.002652293,0.006759069,0.014459274,0.024726215,0.037731006,0.05381588,0.054243669,0.054671458,0.050735797,0.048596851,0.049024641,0.048511294,0.054072553,0.051078029,0.057152635,0.152549624,0.150581793,0.141427105,0.151437372,0.15229295,0.121149897,0.130561259,0.315195072,0.684804928,0.551848049,0.448151951,9570,0.818788501,0.055612594,0.075975359,0.07161191,0.052019165,0.036105407,0.021902806,0.009924709,0.006416838,0.003593429,0.00196783,0.005475702,0.011806982,0.020020534,0.031913073,0.04628679,0.043720055,0.041495551,0.040468857,0.03995551,0.038415469,0.038928816,0.040554415,0.037816564,0.046800137,0.128850103,0.12380219,0.116786448,0.124401095,0.125,0.096423682,0.103524983,0.252310062,0.566478439,0.457734428,0.361054073,416,0.015058179,0.020533881,0.019164956,0.016427105,0.41298768,0.732631759,0.622518823,0.523100616,1702,0.03559206,0.145619439
9001010500,18220,4.19E-05,251,1116,18219,10911,0.066410538,0.000241744,0.000241731,0.000144768,0.006816349,0.224910394,0.060373216,0.060373216,0.050439078,0.03622393,0.026838639,0.01816685,0.009275521,0.006641054,0.006860593,0.007958288,0.043249177,0.026399561,0.032491767,0.043139407,0.072118551,0.06597146,0.057793633,0.057848518,0.056531284,0.05532382,0.043084523,0.045883644,0.050548847,0.147859495,0.160043908,0.140065862,0.142096597,0.131229418,0.140230516,0.138419319,0.354555434,0.645389682,0.488968167,0.510976948,10911,0.59884742,0.040010977,0.041053787,0.045334797,0.038419319,0.028265642,0.020362239,0.014105379,0.007189901,0.004884742,0.005433589,0.005598244,0.025740944,0.014654226,0.01586169,0.023435785,0.038748628,0.036608123,0.027003293,0.028320527,0.03090011,0.02766191,0.022008782,0.025356751,0.031888035,0.09143798,0.101372119,0.083040615,0.088419319,0.069538968,0.085675082,0.079363337,0.210373216,0.388474204,0.302634468,0.296212953,1526,0.027552141,0.056201976,0.045938529,0.037815587,0.55532382,0.762074643,0.66597146,0.651427003,5783,0.083754116,0.317398463
9001010600,18168,0.001213416,371,1466,18146,8186,0.043923382,0.000241055,0.000240763,0.000108613,0.008954093,0.253069577,0.042932629,0.035171731,0.029117129,0.026475121,0.02042052,0.013320123,0.020695729,0.014035667,0.007045354,0.016347424,0.026420079,0.030988551,0.03874945,0.046510348,0.058179216,0.070673712,0.070838838,0.075627477,0.069077499,0.066930867,0.064233818,0.059169969,0.052399824,0.148392779,0.148833113,0.153401585,0.144044474,0.143218846,0.13732937,0.124064289,0.337241303,0.662043153,0.462956847,0.536327609,8186,0.450572435,0.019319683,0.024108322,0.0222369,0.020090269,0.019649934,0.015907089,0.009742404,0.01651255,0.012659621,0.006549978,0.012549538,0.013375165,0.014035667,0.014035667,0.017338177,0.016292382,0.021796565,0.025979745,0.025594452,0.024603699,0.024658741,0.02675033,0.024603699,0.022181858,0.075462351,0.071994716,0.07452664,0.067371202,0.058729635,0.048051519,0.054436372,0.141952884,0.308619551,0.208553501,0.242018934,1739,0.03274989,0.062967856,0.046785557,0.048932188,0.628412594,0.825297226,0.709048877,0.744660942,8243,0.095717745,0.453709819
9001010700,3687,0,92,600,3687,1012,0.064551126,4.89E-05,4.89E-05,1.34E-05,0.003664704,0.153333333,0.05315975,0.055329536,0.041768375,0.033902902,0.018171956,0.011662598,0.009764036,0.002441009,0.003797125,0.012747491,0.030377,0.035259018,0.049905072,0.048006509,0.049905072,0.043938161,0.046921616,0.046650393,0.062652563,0.07756984,0.068890697,0.065364795,0.067263358,0.138595064,0.138595064,0.143748305,0.127203689,0.156767019,0.141036073,0.154054787,0.352861405,0.647138595,0.556550041,0.443449959,1012,0.274477895,0.019528072,0.016815839,0.019256848,0.014646054,0.018171956,0.008136697,0.005695688,0.005424464,0.00081367,0.001084893,0.004339571,0.012476268,0.011662598,0.009492813,0.012747491,0.012476268,0.00678058,0.00678058,0.006509357,0.009221589,0.013832384,0.014103607,0.022240304,0.022240304,0.033089232,0.039327366,0.041768375,0.034716572,0.036343911,0.037428804,0.051803634,0.103878492,0.170599403,0.151885001,0.122592894,378,0.034987795,0.067534581,0.05478709,0.047735286,0.761866016,0.861133713,0.82967182,0.793327909,2297,0.102522376,0.622999729
9001010800,6458,0,133,990,6458,3252,0.06008052,8.57E-05,8.57E-05,4.31E-05,0.006046762,0.134343434,0.061164447,0.062248374,0.052957572,0.052338185,0.030814494,0.017497677,0.006813255,0.003871168,0.003406627,0.009910189,0.03004026,0.038092289,0.044905544,0.042582843,0.051718798,0.048467018,0.048776711,0.054041499,0.052647879,0.048157324,0.048312171,0.067203469,0.063951688,0.14694952,0.137968411,0.126200062,0.13332301,0.147104367,0.151440074,0.157014556,0.373025705,0.626974295,0.516723444,0.483276556,3252,0.503561474,0.032982347,0.035305048,0.040260142,0.035924435,0.039950449,0.024156085,0.011768349,0.005109941,0.002632394,0.002013007,0.005884175,0.016723444,0.018271911,0.01594921,0.018426758,0.022607618,0.017652524,0.015794364,0.022762465,0.021523692,0.022143078,0.022297925,0.025859399,0.027562713,0.062248374,0.068287395,0.066893775,0.066893775,0.073552183,0.082378445,0.083307526,0.195571384,0.30799009,0.26385878,0.239702694,835,0.04506039,0.084236606,0.066584082,0.062712914,0.607773304,0.759368225,0.697584391,0.669557138,2371,0.129296996,0.36714153
9001010900,9573,0,142,554,9573,7210,0.056826491,0.000127015,0.000127015,9.57E-05,0.003383743,0.25631769,0.065078868,0.071555416,0.054110519,0.055886347,0.04752951,0.043246631,0.023712525,0.010341586,0.003865037,0.007730074,0.01587799,0.021623316,0.025697274,0.035098715,0.044604617,0.046380445,0.049409798,0.063825342,0.059124621,0.055781887,0.044186775,0.049305338,0.049200877,0.154288102,0.153139037,0.145408963,0.117100178,0.124830252,0.139141335,0.166092134,0.375953202,0.624046798,0.505170793,0.494829207,7210,0.753159929,0.04073958,0.052648073,0.057662175,0.047842891,0.048678575,0.04303771,0.04063512,0.021101013,0.008879139,0.001775828,0.005849786,0.010132665,0.013788781,0.016922595,0.023608064,0.027995404,0.027786483,0.033531808,0.046693826,0.04533584,0.04073958,0.031129218,0.032278283,0.034367492,0.116682336,0.116891257,0.117204638,0.085239737,0.08816463,0.102371252,0.12660608,0.283296772,0.469863157,0.382743132,0.370416797,915,0.034367492,0.061213831,0.046693826,0.048887496,0.468923013,0.682335736,0.580695707,0.570563042,1448,0.095581322,0.151258749
9001011000,9632,0,223,1262,9632,5020,0.052325581,0.000127798,0.000127798,6.66E-05,0.007708094,0.176703645,0.05730897,0.063330565,0.049522425,0.032288206,0.019725914,0.010693522,0.006852159,0.003218439,0.003218439,0.016715116,0.025851329,0.038725083,0.044227575,0.046200166,0.054194352,0.056270764,0.0589701,0.055751661,0.057412791,0.0625,0.064057309,0.061150332,0.059489203,0.139015781,0.148567276,0.144206811,0.126038206,0.145452658,0.139534884,0.157184385,0.358492525,0.641507475,0.527097176,0.472902824,5020,0.521179402,0.024605482,0.032807309,0.040490033,0.034364618,0.020660299,0.011108804,0.005917774,0.004464286,0.001868771,0.002076412,0.012769934,0.013496678,0.015884551,0.026266611,0.029381229,0.031042359,0.02948505,0.030627076,0.025643688,0.025747508,0.028135382,0.026162791,0.024916944,0.023255814,0.073504983,0.080980066,0.08326412,0.073193522,0.074958472,0.058035714,0.077242525,0.170369601,0.350809801,0.26048588,0.260693522,1011,0.034468439,0.070494186,0.056686047,0.048276578,0.578696013,0.79516196,0.6910299,0.682828073,3601,0.104962625,0.373857973
